"Category","Name","UUID","Url"
"Asterix & Obelix","Id̩fix","ece51710-21b1-11f0-9eef-126bcddc280d","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABezWTX-7t5d_Ctn7SCmyrXKs6MeO3kXoHgYoi6sKvS-AuqcaUdOr4hIrD6Oiu49xg77eLjfh3kao5dU4QFNeRIBkAOGIYjjgqw.png?r=9ca"
"Asterix & Obelix","Panoramix","ece53e20-21b1-11f0-926e-1200f225a351","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABcJYanzxA6bGU2G_LyLMW8zXGNaQcK8RNA7mwxMOq8iUqdu_PwJUY5N8NVgcfvWGGhZbfv6cn9mys9RkJ2a6joRzH5im-Hzn4A.png?r=666"
"Asterix & Obelix","Ast̩rix & Ob̩lix","ece51710-21b1-11f0-9dd4-128a06ff22a1","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABTeMIrxIcup694uz1YED1od9IQ6j6hRO8_ds7QPXIuEZnXlY04YD50deI38hxvMJ_TgQFh8gHJo0oa8v2dlOpLpDiKxbCrOxZg.png?r=d49"
"Asterix & Obelix","Metadata","ece4f001-21b1-11f0-8a86-12838be7e5e3","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABQyOEfKI0ZiCuVwiAcmg7SqfeBqEoKfes2hEYLLR10U-_SH4Sypc5LC7Kg11raAfB5r3HpQrE1F99CE8LMQynmHdm_SG9vhrtw.png?r=817"
"Asterix & Obelix","Caesar","ece4a1e0-21b1-11f0-a272-12f80588fe31","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABU-9OvZ4o80F-748FjNwN5y9qZzWyYDvEI9E5OgikZGBUqfH29Sq9CCD_w1U8KLnnk5b9Ggg-oMcIhxiC9GVUzMPvJGWFUYvKg.png?r=3ee"
"Asterix & Obelix","Abraracourcix","ecd8bb00-21b1-11f0-8a86-12838be7e5e3","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABQXvWnOh97EyGTXKS-4VRrqEBbgIAQvnc2Bm9bn2EJmPs4aYqmPIZWap-mBhdtaR2jahjt9UDx3G7DDbdTyfFfGK8FscgY0b_Q.png?r=c4b"
"Asterix & Obelix","Bonnemine","ecd2c790-21b1-11f0-9dd4-128a06ff22a1","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABTlh1GaPd-yHJwKUPG5F7MXBRpO6ikh2Wo2xhPIhyNlbAumppKDHPlRU-TL3J1Yw3F_9pZFwz9DmCx7hkFFC8GvkdXNqztvcnw.png?r=b96"
"Asterix & Obelix","Potus","ecd95740-21b1-11f0-b501-12cfc5d998c1","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABf6yahjZIbiLttKeZPFlY_r_goXHn1uJ-UOImIKXQBMqUURGXnIF5eqkXGMnKwkMlBmFLRiGzsxfg5w_XpnxE7dHYJlx0DAVcw.png?r=bf2"
"Asterix & Obelix","Aplusb̩galix","ecd9a560-21b1-11f0-a22b-1250cef493d5","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABZZA5A1zSEr8HKz9b0Z8hbcp0qCRm3lLvV_il-V4-pETYjeGfBwmod07V-Ih-WfaEzUrRTQjs3_d4k53Q3dSqHmmz4lPqzyorQ.png?r=67a"
"Asterix & Obelix","Fastenfurius","ecd9a560-21b1-11f0-9eef-126bcddc280d","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABaDyRjJrRhJxjTLdjZ4FmH8cvChdwcDUPR4gEo0hvlzGzafJVvAul3dHmdGAYlMfKCTcpwBc72PyRTaGB_AND1iIXxgAOTIw7Q.png?r=0ab"
"Asterix & Obelix","Maman-Caesar","ecd93030-21b1-11f0-a272-12f80588fe31","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABWtEXLxradAShBhxcA4uIpllbfmbt54Mbh5zjufVnTUQ184waYRbiGtYb3kk5uXamAnSZEQprM4hMfvTWBAQVvBYprti-S2inA.png?r=0f9"
"Avatar: The Last Airbender (Live Action)","Aang","3dea39a0-c6d8-11ee-a079-123dc585507d","https://occ-0-8782-2219.1.nflxso.net/dnm/api/v6/vN7bi_My87NPKvsBoib006Llxzg/AAAABWdgoy0XCa1d7MT6-uOvmnIIk5mhB3UGvcy8sJ6UhhK9XT01Jtckic00r-45RiA9fQr2zJaQygLgeYnt_9Y7hKw7ZYxeaUPQzA.png?r=c23"
